Assignee,Summary
erack,filesave xlsx calc save to xlsx flawed
serval2412,mysql mariadb direct connection time values not write to table
serval2412,mysql mariadb direct connection time values not written to table
jluth,fileopen commerce table content from header not shown due to table width
jluth,fileopen doc table content from header not shown due to table width
varga.balazs3,editing bar graph secondary x axis labels appear on the tickmarks
varga.balazs3,editing bar chart secondary x axis labels appear on the tickmarks
michael.stahl,importing a file
michael.stahl,crash importing a specific file
michael.stahl,crash working flying field with fields
michael.stahl,crash working with fields
nemeth,fileopen paragraph in table gets extra cm spacing after
nemeth,fileopen docx paragraph in table gets extra cm spacing after
serval2412,crash closing libreoffice after cutting contentedness from document
serval2412,crash closing libreoffice after cutting content from document
nemeth,editing ctrl drag of author table moves the table instead of copying
nemeth,editing ctrl drag of writer table moves the table instead of copying
mikekaganski,saxexception word document xml line when you hear to open a document from word docx format create with lo with a image copy from draw
mikekaganski,saxexception word document xml line when you try to open a document from word docx format created with lo with a image copy from draw
s.mehrbrodt,style list loses multi right on selection click
s.mehrbrodt,style list loses multi selection on right click
serval2412,reviser auto redact uneditable target
serval2412,auto redact uneditable target
dennisfrancis.in,editing incorrectly updated when deleting rows in xlsx
dennisfrancis.in,editing reference incorrectly updated when deleting rows in xlsx
mikekaganski,xls damaging after saving in
mikekaganski,xls damaging after saving in 
varga.balazs3,y axis disappear in horizontal bar chart
varga.balazs3,y axis labels disappear in horizontal bar chart
mikekaganski,calc names mold beginning with underscore no longer work
mikekaganski,calc names beginning with underscore no longer work
varga.balazs3,fileopen graph is not displayed
varga.balazs3,fileopen chart is not displayed
varga.balazs3,fileopen docx percent stacked area chart data is imported as import percentage
varga.balazs3,fileopen docx percent stacked area chart data is imported as percentage
varga.balazs3,fileopen xlsx percent stacked area chart data point labels appear as ratio
varga.balazs3,fileopen xlsx percent stacked area chart data labels appear as ratio
mikekaganski,un execute float table does not clear floating attribute in docx floating tables
mikekaganski,un float table does not clear floating attribute in docx floating tables 
mikekaganski,cipher poor performance in a basic code
mikekaganski,poor performance in a basic code
michael.stahl,filesave commerce checkbox is lost after rt
michael.stahl,filesave doc checkbox is lost after rt
mikekaganski,cannot get the content of structs in the watch window
mikekaganski,ide cannot get the content of structs in the watch window
vasily.melenchuk,crash importing a specific see comment
vasily.melenchuk,crash importing a specific file see comment 
erack,shared formula group created by pasting rowing s stops listening to part of a range after insertion of a editorial before the formula group
erack,shared formula group created by pasting row s stops listening to part of a range after insertion of a column before the formula group 
mikekaganski,toc and its style in a docx imported wrong
mikekaganski,toc and its title in a docx imported wrong
nemeth,set back fileopen docx incorrect nested table
nemeth,fileopen docx incorrect nested table
vasily.melenchuk,fileopen docx drawings are non not displayed
vasily.melenchuk,fileopen docx drawings are not displayed
raykowj,undoing step up indent undoes only one line at a time
raykowj,undoing increase indent undoes only one line at a time 
s.mehrbrodt,enter key no longer works key fruit in insert hyperlink dialog gen
s.mehrbrodt,enter key no longer works in insert hyperlink dialog gen 
mikekaganski,rtf file not exhibit in correct format
mikekaganski,rtf file not displayed in correct format
michael.stahl,filesave docx checkboxes lost after
michael.stahl,filesave docx checkboxes lost after rt
michael.stahl,odt import field marks are total at the end of the document
michael.stahl,odt import field marks are added at the end of the document
michael.stahl,filesave rtf accounting entry duplicated entries in toc after rt in mso
michael.stahl,filesave rtf duplicated entries in toc after rt in mso
nemeth,fileopen docx incorrect padding in aggrandise table
nemeth,fileopen docx incorrect padding in table
michael.stahl,fileopen docx footer is missing on varlet
michael.stahl,fileopen docx footer is missing on page 
heiko.tietze,layout problem
heiko.tietze,layout problem
serge.krot,impress long operation during typing in list
serge.krot,impress long operation during typing in animated list
mikekaganski,crash in mergedlo dll after pasting as unformatted schoolbook in draws schoolbook box
mikekaganski,crash in mergedlo dll after pasting as unformatted text in draws text box
mikekaganski,crash in swviewshell getdoc show print with field dialog
mikekaganski,crash in swviewshell getdoc show print with field dialog open
michael.stahl,clang when copying the content of a complex docx
michael.stahl,crash when copying the content of a complex docx
mikekaganski,crash inspecting properties of cell straddle object in ide
mikekaganski,crash inspecting properties of cell range object in ide
tundeth,filesave xlsx the legend deleted legend entries too export
tundeth,filesave xlsx the legend shows deleted legend entries too after export
tundeth,fileopen xlsx the legend shows deleted legend entries too in proto indo european charts
tundeth,fileopen xlsx the legend shows deleted legend entries too in pie charts
bakos.attilakaroly,fileopen incorrect shape position
bakos.attilakaroly,fileopen incorrect shape position
erack,filesave xlsx default excel format saved incorrectly
erack,filesave xlsx default excel date format saved incorrectly
m.weghorn,shortcuts dont work in receive replace dialog if vcl kde and lang ru ru utf
m.weghorn,shortcuts dont work in find replace dialog if vcl kde and lang ru ru utf 
raykowj,list content pastes twice undo after
raykowj,list content pastes twice after undo
varga.balazs3,fileopen xlsx datapoint position label changes
varga.balazs3,fileopen xlsx datapoint label position changes
bakos.attilakaroly,filesave shape anchored to table moves on saving
bakos.attilakaroly,filesave docx shape anchored to table moves on saving
raykowj,libreofficedev sailing master collapse headings works only for sub headings
raykowj,libreofficedev navigator collapse headings works only for sub headings
s.mehrbrodt,bookmarks to incorrect pages exported pdf if document contains a hidden section
s.mehrbrodt,bookmarks point to incorrect pages in exported pdf if document contains a hidden section
raykowj,writer navigator crashes when is pressed sailing master on entries without children
raykowj,writer navigator crashes when is pressed on entries without children
jluth,fileopen docx from header from shown also on
jluth,fileopen docx image from header section from page shown also on page 
mikekaganski,safe mode brochure show user profile fails to open the folder
mikekaganski,safe mode show user profile fails to open the folder
michael.stahl,track changes crash in swlo dll with indium track changes enabled and autocorrect
michael.stahl,track changes crash in swlo dll with track changes enabled and autocorrect
m.weghorn,editing impossible to delete a table from relationdesign in linux kde
m.weghorn,editing impossible to delete a table from relationdesign in linux kde 
erack,calc editing ui weakness with named ranges
erack,calc editing ui weakness with named ranges
tundeth,fileopen xlsx labels chart shrinks and the data area are under the chart
tundeth,fileopen xlsx area chart shrinks and the data labels are under the chart
momonasmon,toolbar make at document scope does not save associated icons
momonasmon,toolbar created at document scope does not save associated icons 
nemeth,fileopen docx incorrectly is text highlighted
nemeth,fileopen docx text is incorrectly highlighted
sbergman,crash when clearing the find text field
sbergman,crash when clearing the find text field
serval2412,switch gives wrong data type error on reordering evaluate result pairs
serval2412,switch gives wrong data type error on reordering value result pairs 
serge.krot,writer docx exportation text is not bold
serge.krot,writer docx export text is not bold
varga.balazs3,fileopen xlsx position column of is not retained
varga.balazs3,fileopen xlsx position of column is not retained
michael.stahl,crash pasting undoing change tracking involved
michael.stahl,crash after pasting and undoing change tracking involved 
s.mehrbrodt,basic dialog does not import export images
s.mehrbrodt,basic dialog does not import export images
bakos.attilakaroly,writer editing frame goes out of moving shape after the
bakos.attilakaroly,writer editing frame goes out of the shape after moving
michael.stahl,fileopen docx erroneous margin image
michael.stahl,fileopen docx erroneous margin around image
bakos.attilakaroly,writer delete frame goes out of the shape when added to the shape
bakos.attilakaroly,writer editing frame goes out of the shape when added to the shape
erack,delete local name breaks if previous sheet is deleted
erack,local name breaks if previous sheet is deleted
Armin.Le.Grand,broken center thumbnail are start
Armin.Le.Grand,start center thumbnail are broken
serval2412,footnotes footer before and after text is placed the wrong way around
serval2412,footnotes before and after text is placed the wrong way around 
serge.krot,writer preview of linked doc is not updated edited when
serge.krot,writer preview of linked doc is not updated when edited
michael.stahl,crash smash scrolling document
michael.stahl,crash scrolling document
varga.balazs3,viewing docx chart custom label text procreate
varga.balazs3,viewing docx chart custom label text multiplied
varga.balazs3,filesave xlsx number formats of single data issue label changed
varga.balazs3,filesave xlsx number formats of single data label changed
varga.balazs3,fileopen docx column axis vertebra chart x axis labels are truncated
varga.balazs3,fileopen docx column chart x axis labels are truncated
nemeth,fileopen docx table color background cell lost
nemeth,fileopen docx table cell background color lost
varga.balazs3,fileopen incorrect format of data single label
varga.balazs3,fileopen incorrect format of single data label
serval2412,exploited improperly used ampersand
serval2412,improperly used ampersand
serval2412,checkbox do cipher not distort objects in curve does nothing
serval2412,checkbox do not distort objects in curve does nothing 
nemeth,assert undoing deletion dont store redline during undo
nemeth,assert undoing deletion dont store redline extradata during undo 
raykowj,can not edit pagestyle in calc
raykowj,can not delete pagestyle in calc
raykowj,print preview bar appear tabbed notebookbar does not in dynamically
raykowj,print preview bar in tabbed notebookbar does not appear dynamically
nemeth,fileopen docx incorrect table size
nemeth,fileopen docx incorrect table size
serval2412,crash when pasting quotes with fixed smash width
serval2412,crash when pasting quotes with fixed width
jluth,fileopen ms word docx writer styles that include bulleting numbering loses bullet number part of style in with
jluth,fileopen ms word docx with styles that include bulleting numbering loses bullet number part of style in writer
erack,filesave xlsx paste special of n a formula result result gives in in err calc after reload
erack,filesave xlsx paste special of n a formula result result gives in err in calc after reload
erack,function wizard in calc allows too many parameters
erack,function wizard in calc allows too many parameters
erack,fileopen xlsx text formula result different gives than in excel
erack,fileopen xlsx text formula gives different result than in excel
erack,cannot concatenate bit and space dot from vba macro
erack,cannot concatenate number and space dot from vba macro
serval2412,crash clicking text direction from top to bottom icon
serval2412,crash when clicking the text direction from top to bottom toolbar icon 
michael.stahl,doss when doing undoing
michael.stahl,crash when doing undoing
serval2412,exporting doesnt html to preserve rtl property
serval2412,exporting to html doesnt preserve rtl property
nemeth,specialise table incorrectly specified as relative size
nemeth,table incorrectly specified as relative size
michael.stahl,editing look alike anchored to character inside misspelled word is removed when word is corrected with spell checking
michael.stahl,editing image anchored to character inside misspelled word is removed when word is corrected with spell checking 
nemeth,fileopen docx table left indent not imported set back from table style
nemeth,fileopen docx table left indent not imported from table style
serval2412,crash writerfilterlo writerfilter dmapper conversionhelper converttwiptomm unsigned xtc
serval2412,crash writerfilterlo writerfilter dmapper conversionhelper converttwiptomm unsigned x 
sbergman,exif information recognized
sbergman,exif information not recognized
m.weghorn,fileopen pptx cant open pitch specific pptx
m.weghorn,fileopen pptx cant open specific pptx
nemeth,fileopen docx crash file change to open with frame in header and fails tracked table
nemeth,fileopen docx crash file fails to open with frame in header and change tracked table
varga.balazs3,calc chart disco biscuit axis format lost with xlsx
varga.balazs3,calc chart x axis format lost with xlsx
michael.stahl,docx formtext content is after filling
michael.stahl,docx formtext content is lost after filling
sbergman,editing snap lines dialog decreases when values entered drawing scale is many
sbergman,editing snap lines dialog decreases entered values when drawing scale is many
erack,countblank function fails with external point of reference
erack,countblank function fails with external references
erack,function wizard does not get into array formulas with inline arrays correctly
erack,function wizard does not enter array formulas with inline arrays correctly
varga.balazs3,fileopen label chart shows wrong docx formatting decimal instead of prcentage
varga.balazs3,fileopen docx chart shows wrong label formatting decimal instead of prcentage 
mikekaganski,filesave pptx glow effect is gone in mso make up after rt
mikekaganski,filesave pptx glow effect is gone in mso after rt
michael.stahl,when copying block rectangle
michael.stahl,when copying a block rectangle
serval2412,fileopen docx incorrect comboverline symbol
serval2412,fileopen docx incorrect ms comboverline symbol
michael.stahl,deleting a paragraph at start or end of section edit the object anchored to it
michael.stahl,deleting a paragraph at start or end of section deletes the object anchored to it
michael.stahl,crash undoing paste of frames
michael.stahl,crash undoing paste of frames
tundeth,fileopen odt chart shifted
tundeth,fileopen odt stock chart columns appear shifted
mikekaganski,is replace basic awfully slow
mikekaganski,basic replace is awfully slow
bakos.attilakaroly,fileopen docx ole object to page opens in shifted
bakos.attilakaroly,fileopen docx ole object aligned to page opens in shifted position
varga.balazs3,filesave xlsx date type x axis columns position appears shifted newspaper column in excel
varga.balazs3,filesave xlsx date type x axis columns position appears shifted in excel
nemeth,fileopen docx table character direct formatting not applied with some other table in footer
nemeth,fileopen docx table character direct formatting not applied with another table in footer
tundeth,no of labels in pie charts if xlsx created with excel regression in vs and
tundeth,no display of labels in pie charts if xlsx created with excel regression in vs and 
michael.stahl,swposition in swposition swposition crash const
michael.stahl,crash in swposition swposition swposition const 
michael.stahl,crash in swlo dll
michael.stahl,crash in swlo dll
jluth,text in table keep on going off page with keep with next paragraph checked
jluth,text in table going off page with keep with next paragraph checked
heiko.tietze,macos installer mounted dmg ui needs cleanup misaligned arrow graphic
heiko.tietze,macos installer mounted dmg ui needs cleanup misaligned arrow graphic
michael.stahl,images anchored to character in table not pasted
michael.stahl,images anchored to character in table not pasted
vasily.melenchuk,docx import invalid list get numbering with
vasily.melenchuk,docx import invalid list start numbering with 
tundeth,ui option to set axis position property of charts
tundeth,ui option to set axis position property of charts
vasily.melenchuk,filesave docx bulleting symbolic representation changes after rt
vasily.melenchuk,filesave docx bulleting symbol changes after rt
bakos.attilakaroly,fileopen docx formula object wrap setting broken
bakos.attilakaroly,fileopen docx formula object wrap setting broken
heiko.tietze,text in lo brand truncated in libreoffice dialog
heiko.tietze,text in lo brand logo truncated in about libreoffice dialog
jluth,fileopen docx cell edge border in table
jluth,fileopen docx merged cell missing edge border in table
heiko.tietze,lost new gallery stuff in
heiko.tietze,lost new gallery stuff in 
michael.stahl,crash swlo bigptrarray indicant index block xc
michael.stahl,crash swlo bigptrarray index block xc 
serval2412,calc crash indium for uninitialized filterdescriptor in macro
serval2412,calc crash for uninitialized filterdescriptor in macro
michael.stahl,table is multiplying dummys with after undo
michael.stahl,table is multiplying with dummys after undo
varga.balazs3,graphical record calc ui graph not shown in a
varga.balazs3,calc ui graph not shown in a 
heiko.tietze,positioning of measurement dropdown is wrongly wrong
heiko.tietze,positioning of measurement dropdown is wrong
bakos.attilakaroly,filesave docx formula alignment revolve about changes on export to centered
bakos.attilakaroly,filesave docx formula alignment changes on export to centered
nemeth,fileopen extra spacing above paragraphs
nemeth,fileopen docx extra spacing above numbered paragraphs
bakos.attilakaroly,docx ole object wrap settings are not saved
bakos.attilakaroly,filesave docx ole object wrap settings are not saved
serval2412,crash when using undo clock time times in comment reply
serval2412,crash when using undo times in comment reply
jluth,docx filesave dont export chromatography column break in non chromatography column situations
jluth,docx filesave dont export column break in non column situations
varga.balazs3,editing pie chart labels graph best fit placement overlaps other chart slices
varga.balazs3,editing pie chart labels best fit placement overlaps other chart slices
michael.stahl,release notes for removal of trend remotion lines for odf missing
michael.stahl,release notes for removal of trend lines for odf missing
vasily.melenchuk,fileopen set up have no bonder
vasily.melenchuk,fileopen frames have no bonder
jluth,fileopen doc at hang import time of table in table
jluth,fileopen doc hang at import time of table in table
jluth,fileopen doc incorrect in subscript
jluth,fileopen doc incorrect spacing in subscript
nemeth,no docx table has fileopen borders
nemeth,fileopen docx table has no borders
tundeth,editing gradient types square and quadratic satisfying have incorrect center
tundeth,editing gradient types square and quadratic have incorrect center
vasily.melenchuk,filesave doc odt numbering formatting is lost after rt
vasily.melenchuk,filesave doc odt numbering list formatting is lost after rt
erack,append percent sign also while entering a leading decimal separator in a percent arrange cell
erack,append percent sign also while entering a leading decimal separator in a percent formatted cell
michael.stahl,lo writes invalid annotation in incapacitate odf strict
michael.stahl,lo writes invalid annotation in odf strict
michael.stahl,odf drop down is not valid in text
michael.stahl,text drop down is not valid in odf 
serge.krot,filesave xlsx excel gives with content error when opening file invalid shape
serge.krot,filesave xlsx excel gives invalid content error when opening file with shape
bakos.attilakaroly,filesave docx incorrect rt of ole object after position
bakos.attilakaroly,filesave docx incorrect position of ole object after rt
michael.stahl,filesave docx fields are not displayed in mso non after rt
michael.stahl,filesave docx fields are not displayed in mso after rt
vasily.melenchuk,incorrect rendering numbering in word defined multi level
vasily.melenchuk,incorrect rendering numbering in word defined multi level list
varga.balazs3,docx pie chart label formatted as percentage format becomes number formatted
varga.balazs3,fileopen docx pie chart label formatted as percentage format becomes number formatted
nemeth,set back fileopen docx extra spacing in table
nemeth,fileopen docx extra spacing in table
serval2412,call to loadcalendartz crashes prognosticate libreoffice
serval2412,call to loadcalendartz crashes libreoffice
michael.stahl,crash swlo x gotooutline swdoc c
michael.stahl,crash swlo swdoc gotooutline x c
michael.stahl,crash undoing of selection
michael.stahl,crash undoing deletion of selection
michael.stahl,crash copying content in draw close table
michael.stahl,crash copying content in nested table
michael.stahl,deletion undoing table crash
michael.stahl,crash undoing table deletion
michael.stahl,multiple delete frame style undo actions after library paste
michael.stahl,multiple delete frame style undo actions after paste
jluth,select the table by dragging over the pillar become harder
jluth,select the table by dragging over the columns become harder
varga.balazs3,editing pie chart area resizes when data label is moved
varga.balazs3,editing pie chart area resizes when data label is moved
vasily.melenchuk,fileopen docx tabs at the beginning no line of longer appear
vasily.melenchuk,fileopen docx tabs at the beginning of line no longer appear
varga.balazs3,fileopen xlsx date axis tries to display empty items in range with month resolve
varga.balazs3,fileopen xlsx date axis tries to display empty items in range with month resolution
momonasmon,vertical toolbars button cant be hide in some text
momonasmon,vertical text button cant be hide in some toolbars
varga.balazs3,pie chart data label outside of chart area
varga.balazs3,pie chart data label moves outside of chart area
michael.stahl,crash undoing smash table paste
michael.stahl,crash undoing table paste
michael.stahl,crash unwrap undoing section paste
michael.stahl,crash undoing section paste
michael.stahl,flying field crash undoing field paste
michael.stahl,crash undoing field paste
varga.balazs3,fileopen docx pie chart labels data long do not break
varga.balazs3,fileopen docx pie chart long data labels do not break
vasily.melenchuk,fileopen docx add up list has no indent
vasily.melenchuk,fileopen docx numbering list has no indent
michael.stahl,filesave doc some fields are missed after rt
michael.stahl,filesave doc some fields are lost after rt
bakos.attilakaroly,fileopen docx image in table rendered on wrong thomas nelson page
bakos.attilakaroly,fileopen docx image in table rendered on wrong page
m.weghorn,crash tapping odp slideshow
m.weghorn,crash when tapping odp slideshow
s.mehrbrodt,editing spacing after value afterward in header changed default behavior
s.mehrbrodt,editing spacing after value in header changed default behavior
vasily.melenchuk,fileopen counter
vasily.melenchuk,fileopen tabulator
varga.balazs3,fileopen xlsx show leader lines is always on
varga.balazs3,fileopen xlsx show leader lines property is always on
vasily.melenchuk,fileopen doc display numbering list is not displayed
vasily.melenchuk,fileopen doc numbering list is not displayed
serge.krot,fileopen docx incorrect default value in dropdown text fields
serge.krot,fileopen docx incorrect default value in dropdown text fields
nemeth,snuggle fileopen docx table containing nested table disappears
nemeth,fileopen docx table containing nested table disappears
michael.stahl,cannot export eps with rotated text to drawing
michael.stahl,cannot export drawing with rotated text to eps
tundeth,chart horizontal axis vertebra title box too long
tundeth,chart horizontal axis title box too long
nemeth,fileopen nested table columns disappear
nemeth,fileopen docx nested table columns disappear
michael.stahl,images disappearing in editing text when libre writer tracking changes enabled
michael.stahl,images disappearing when editing text in libre writer tracking changes enabled 
m.weghorn,apk package is broken
m.weghorn,apk package is broken
raykowj,crash select masterslide on presentation from writer
raykowj,crash select masterslide on inserted presentation from writer
varga.balazs3,pie chart area gets wrong
varga.balazs3,pie chart area gets wrong size
michael.stahl,table does seeable paste but not visible
michael.stahl,table does paste but not visible
michael.stahl,in crash swlo dll
michael.stahl,crash in swlo dll
mikekaganski,editing document with graph keeps the needs save state
mikekaganski,editing document with chart keeps the needs save state
tundeth,fileopen xlsx series level chart data label font size not import correctly
tundeth,fileopen xlsx series level chart data label font size not imported correctly
varga.balazs3,make up filesave odt chart imported from docx cannot be edited if saved as odt
varga.balazs3,filesave odt chart imported from docx cannot be edited if saved as odt
serval2412,not redact e mail address automatic redaction
serval2412,not redact e mail address by automatic redaction
michael.stahl,freeze hang after deleting index swposition dumpasxml
michael.stahl,freeze hang after deleting index swposition dumpasxml
mikekaganski,buildid is neither displayed in copyable from the about dialog
mikekaganski,buildid is neither displayed in nor copyable from the about dialog
serval2412,crash run swam non linear blank with solver input
serval2412,crash run swam non linear solver with blank input
mikekaganski,transparency docx glow effects transparency should be prioritized over area fileopen
mikekaganski,fileopen docx glow effects transparency should be prioritized over area transparency
serval2412,right click on empty command list gen
serval2412,crash right click on empty command list gen 
mikekaganski,impress generates a wrong pptx file after minimize presentation
mikekaganski,impress generates a wrong pptx file after minimize presentation
m.weghorn,crash when opening android odt document written in japanese chinese an viewer
m.weghorn,crash when opening an odt document written in japanese chinese android viewer 
michael.stahl,crash in a basic canonic macro
michael.stahl,crash in a basic macro
mikekaganski,mistake libreoffice error in for next statement
mikekaganski,libreoffice error in for next statement
vasily.melenchuk,onto are stacked tables each other after undo of page wrap change
vasily.melenchuk,tables are stacked onto each other after undo of page wrap change
mikekaganski,crash inspecting an raiment after redim statement with option vbasupport
mikekaganski,crash inspecting an array after redim statement with option vbasupport 
bakos.attilakaroly,fileopen target docx ole object background not imported
bakos.attilakaroly,fileopen docx ole object background not imported
bakos.attilakaroly,fileopen docx ole object border stage setting not imported
bakos.attilakaroly,fileopen docx ole object border settings not imported
bakos.attilakaroly,crash saving a document with columns and image anchored lay aside to page to docx since
bakos.attilakaroly,crash saving a document with columns and image anchored to page to docx since 
michael.stahl,image off after correcting word with right click context menu
michael.stahl,image removed after correcting word with right click context menu
michael.stahl,doss down undo paste cut swlo swdoc isinwriterfilterimport since or
michael.stahl,crash undo paste cut swlo swdoc isinwriterfilterimport since or 
serval2412,crash right click to manage changes list on side bar
serval2412,crash right click to manage changes list on side bar
michael.stahl,can not unprotect bookmarker bookmarks
michael.stahl,can not unprotect bookmarks
vasily.melenchuk,filesave docx restart numbering start value not reserved
vasily.melenchuk,filesave docx restart numbering text start value not reserved 
varga.balazs3,filesave custom position of reload label in pie chart is lost on save data
varga.balazs3,filesave custom position of data label in pie chart is lost on save reload
varga.balazs3,fileopen xlsx pie chart data mark are too narrow with outside placement
varga.balazs3,fileopen xlsx pie chart data labels are too narrow with outside placement
serval2412,crash add protected pdf file on along photo album
serval2412,crash add protected pdf file on photo album
nemeth,fileopen filesave docx get with table formula fields extra spaces
nemeth,fileopen filesave docx fields with table formula get extra spaces
varga.balazs3,fileopen xlsx index instead of content of category value in label in column chart
varga.balazs3,fileopen xlsx index instead of content of category value in data label in column chart
jluth,fix for bug openning breaks of an rtl ms word document
jluth,fix for bug breaks openning of an rtl ms word document
m.weghorn,libreoffice crash assert smash object obj in qaccessiblecache cpp
m.weghorn,libreoffice crash assert object obj in qaccessiblecache cpp
erack,multiple non ranges range list concatenation union broken on import excel and in ui
erack,multiple non contiguous ranges range list concatenation union broken on import from excel and in ui
michael.stahl,shapes moves to different position after actuate undo of anchor to page
michael.stahl,shapes moves to different position after undo of anchor to page
varga.balazs3,crash when tying to move chart data label
varga.balazs3,crash when tying to move chart data label
jluth,filesave saxparse error on file open word footnotes xml line after save to docx file reload
jluth,filesave saxparse error on file open word footnotes xml line after save to docx file reload
michael.stahl,rtf comment anchor is in wrong cell covered cell even in table
michael.stahl,rtf import comment annotation anchor is in wrong cell covered cell even in table
michael.stahl,after of content duplication undo spurious
michael.stahl,duplication of content after undo spurious 
serval2412,ui font replacement table existing loads rule incorrectly
serval2412,ui font replacement table loads existing rule incorrectly
michael.stahl,editing is all does not undo properly if the replacement string replace empty
michael.stahl,editing replace all does not undo properly if the replacement string is empty 
jluth,fileopen incorrect in alignment footer
jluth,fileopen incorrect alignment in footer
bakos.attilakaroly,fileopen docx incorrect origin break
bakos.attilakaroly,fileopen docx incorrect line break
jluth,fileopen docx incorrect page go
jluth,fileopen docx incorrect page break
bakos.attilakaroly,fileopen images have faulty position
bakos.attilakaroly,fileopen images have incorrect position
michael.stahl,filesave doc textwrap is lost after afterward rt
michael.stahl,filesave doc textwrap is lost after rt
varga.balazs3,fileopen docx chart with information labels enabled at datapoint level show percentage values as fraction
varga.balazs3,fileopen docx chart with data labels enabled at datapoint level show percentage values as fraction
raykowj,writer search dialog doesnt after pressing the esc button
raykowj,writer search dialog doesnt close after pressing the esc button
erack,xlsx with when opened error turkish locale
erack,xlsx error when opened with turkish locale
varga.balazs3,ui data label changes position after closing the position information and size dialog
varga.balazs3,ui data label changes position after closing the position and size dialog
michael.stahl,image border after autoformat applies a paragraph disappears
michael.stahl,image disappears after autoformat applies a paragraph border
heiko.tietze,ui missing dialog picker contextual single ui mode
heiko.tietze,ui picker dialog missing contextual single ui mode
erack,calc ui display of cells formatted as fraction partly split
erack,calc ui display of cells formatted as fraction partly broken
nemeth,crash on undo with track changes enabled
nemeth,crash on undo with track changes enabled
erack,incorrect operation sheet named ranges and expressions create with excela and excelr c syntax
erack,incorrect operation sheet named ranges and expressions create with excela and excelr c syntax
erack,insert range named or expression
erack,insert named range or expression
markus.mohrhard,hyperlink function with scriptprotocol don puzzle out
markus.mohrhard,hyperlink function with scriptprotocol don work
lionel,libreoffice database longvarchar anomaly when trying to dismiss a window without first saving
lionel,libreoffice database longvarchar anomaly when trying to dismiss a window without first saving
markus.mohrhard,fileopen xlsx fails to import mislay chart properly axis title alignment lost
markus.mohrhard,fileopen xlsx fails to import chart properly axis title alignment lost
michael.stahl,undo does not work when modifying a conditional body including text style
michael.stahl,undo does not work when modifying a conditional style including text body
varga.balazs3,resizing a chart legend makes the charts body rezise on top side top of it
varga.balazs3,resizing a chart legend makes the charts body rezise on top of it
vasily.melenchuk,messagebox
vasily.melenchuk,messagebox
jluth,vba xlup to end calls and find change cell sheet focus
jluth,vba calls to end xlup and find change cell sheet focus
michael.stahl,odf export page number zero cannot be stored filed haven proposal
michael.stahl,odf export page number zero cannot be stored filed oasis proposal
serval2412,inconsistent error messages when conk out to input required fields
serval2412,inconsistent error messages when failing to input required fields
erack,calc hyperlink error stand out when opening ms excel
erack,calc hyperlink error when opening ms excel
jluth,shadow clear not hold
jluth,shadow clear not retained 
dennisfrancis.in,editing when choose cells for a formula
dennisfrancis.in,editing when selecting cells for a formula
raykowj,sidebar new style created from toolbar in styles page styles doesnt show it immediately
raykowj,sidebar new style created from toolbar in styles page styles doesnt show it immediately
mikekaganski,wrong window version reported in the about window in window
mikekaganski,wrong windows version reported in the about window in windows 
michael.stahl,link writer to a master document
michael.stahl,cant link writer section to a master document
jluth,table does optimal column width size not take the optimal width
jluth,table size optimal column width does not take the optimal width 
serval2412,formula editor breaks surrogate pairs
serval2412,formula editor breaks surrogate pairs
sbergman,with not selected automatically java u
sbergman,java not selected automatically with u 
nemeth,beginning of sentence capitalized on text with typographical
nemeth,beginning of sentence not capitalized on text with typographical apostrophe
nemeth,editing centered tabulator not effective in justified paragraph with telephone line breaks
nemeth,editing centered tabulator not effective in justified paragraph with line breaks
bakos.attilakaroly,material body wrong position of textbox in shape
bakos.attilakaroly,wrong position of textbox in shape
dennisfrancis.in,doesnt undo of formula changes editing show affected cells
dennisfrancis.in,editing undo of formula changes doesnt show affected cells
nemeth,autocorrect while typing not replacing anymore manually added to substitute with ill
nemeth,autocorrect while typing not replacing anymore manually added to replace with ill
erack,formatting dimensions and position lost copy
erack,formatting comment boxes dimensions and position lost at copy
jluth,footnote number removed
jluth,footnote number removed
jluth,auto optimal view jarring gives experience
jluth,auto optimal view gives jarring experience
michael.stahl,editing the image within the survival doesnt disappear after cutting
michael.stahl,editing the image within the selection doesnt disappear after cutting
varga.balazs3,filesave data table from copied chart with empty bellied row exported incorrectly to xlsx data labels missing and x esteem wrong see comment
varga.balazs3,filesave data table from copied chart with empty row exported incorrectly to xlsx data labels missing and x values wrong see comment 
raykowj,searching in the customize dialog makes the indium icons go away
raykowj,searching in the customize dialog makes the icons go away
erack,formula to get value of last non empty cell does not return expected result survive lookup function
erack,formula to get value of last non empty cell does not return expected result lookup function 
mikekaganski,conditional every selecting a cell range for the condition with the mouse gets you formatting cell individually
mikekaganski,conditional formatting selecting a cell range for the condition with the mouse gets you every cell individually
momonasmon,correctly cell highlighting not working repeat
momonasmon,repeat cell highlighting not working correctly
m.weghorn,option load printer settings with the document does not work correctly
m.weghorn,option load printer settings with the document does not work correctly 
Armin.Le.Grand,label in report builder recording label doesnt have text
Armin.Le.Grand,label in report builder doesnt have text
serval2412,wrong character n instead of in print dialog
serval2412,wrong character n instead of in print dialog 
sbergman,automatic update of external links in shared spreadsheet is disabled even though file is in trusted mise en scene extraneous location and setting for opening is always see comment
sbergman,automatic update of external links in shared spreadsheet is disabled even though file is in trusted location and setting for opening is always see comment 
raykowj,paragraph child styles nipper not updated in realtime after modifying default style in styles panel
